,d,o,Run,Buckets,p,issues,l_steps,n_agents,CI2
0,0.05,0.3,0,2,0.3,3,1000,100,True
1,0.05,0.3,1,2,0.3,3,1000,100,True
2,0.05,0.3,2,2,0.3,3,1000,100,True
3,0.05,0.3,3,2,0.3,3,1000,100,True
4,0.05,0.35,4,2,0.3,3,1000,100,True
5,0.05,0.35,5,2,0.3,3,1000,100,True
6,0.05,0.35,6,2,0.3,3,1000,100,True
7,0.05,0.35,7,2,0.3,3,1000,100,True
8,0.05,0.39999999999999997,8,2,0.3,3,1000,100,True
9,0.05,0.39999999999999997,9,2,0.3,3,1000,100,True
10,0.05,0.39999999999999997,10,2,0.3,3,1000,100,True
11,0.05,0.39999999999999997,11,2,0.3,3,1000,100,True
12,0.05,0.44999999999999996,12,2,0.3,3,1000,100,True
13,0.05,0.44999999999999996,13,2,0.3,3,1000,100,True
14,0.05,0.44999999999999996,14,2,0.3,3,1000,100,True
15,0.05,0.44999999999999996,15,2,0.3,3,1000,100,True
16,0.05,0.49999999999999994,16,2,0.3,3,1000,100,True
17,0.05,0.49999999999999994,17,2,0.3,3,1000,100,True
18,0.05,0.49999999999999994,18,2,0.3,3,1000,100,True
19,0.05,0.49999999999999994,19,2,0.3,3,1000,100,True
20,0.05,0.5499999999999999,20,2,0.3,3,1000,100,True
21,0.05,0.5499999999999999,21,2,0.3,3,1000,100,True
22,0.05,0.5499999999999999,22,2,0.3,3,1000,100,True
23,0.05,0.5499999999999999,23,2,0.3,3,1000,100,True
24,0.05,0.5999999999999999,24,2,0.3,3,1000,100,True
25,0.05,0.5999999999999999,25,2,0.3,3,1000,100,True
26,0.05,0.5999999999999999,26,3,0.3,3,1000,100,True
27,0.05,0.5999999999999999,27,2,0.3,3,1000,100,True
28,0.05,0.6499999999999999,28,3,0.3,3,1000,100,True
29,0.05,0.6499999999999999,29,3,0.3,3,1000,100,True
30,0.05,0.6499999999999999,30,7,0.3,3,1000,100,True
31,0.05,0.6499999999999999,31,5,0.3,3,1000,100,True
32,0.05,0.7,32,7,0.3,3,1000,100,True
33,0.05,0.7,33,9,0.3,3,1000,100,True
34,0.05,0.7,34,4,0.3,3,1000,100,True
35,0.05,0.7,35,6,0.3,3,1000,100,True
36,0.05,0.7499999999999999,36,9,0.3,3,1000,100,True
37,0.05,0.7499999999999999,37,11,0.3,3,1000,100,True
38,0.05,0.7499999999999999,38,17,0.3,3,1000,100,True
39,0.05,0.7499999999999999,39,9,0.3,3,1000,100,True
40,0.05,0.7999999999999998,40,10,0.3,3,1000,100,True
41,0.05,0.7999999999999998,41,10,0.3,3,1000,100,True
42,0.05,0.7999999999999998,42,12,0.3,3,1000,100,True
43,0.05,0.7999999999999998,43,15,0.3,3,1000,100,True
44,0.1,0.3,44,2,0.3,3,1000,100,True
45,0.1,0.3,45,2,0.3,3,1000,100,True
