,d,o,Run,Buckets,p,issues,l_steps,n_agents,CI2
0,0.4,0.05,0,10,0.3,3,1000,100,False
1,0.4,0.05,1,8,0.3,3,1000,100,False
2,0.4,0.05,2,10,0.3,3,1000,100,False
3,0.4,0.1,3,8,0.3,3,1000,100,False
4,0.4,0.1,4,8,0.3,3,1000,100,False
5,0.4,0.1,5,8,0.3,3,1000,100,False
6,0.4,0.15,6,9,0.3,3,1000,100,False
7,0.4,0.15,7,8,0.3,3,1000,100,False
8,0.4,0.15,8,8,0.3,3,1000,100,False
9,0.4,0.2,9,8,0.3,3,1000,100,False
10,0.4,0.2,10,8,0.3,3,1000,100,False
11,0.4,0.2,11,8,0.3,3,1000,100,False
12,0.4,0.25,12,8,0.3,3,1000,100,False
13,0.4,0.25,13,8,0.3,3,1000,100,False
14,0.4,0.25,14,9,0.3,3,1000,100,False
15,0.4,0.3,15,8,0.3,3,1000,100,False
16,0.4,0.3,16,8,0.3,3,1000,100,False
17,0.4,0.3,17,8,0.3,3,1000,100,False
18,0.4,0.35,18,8,0.3,3,1000,100,False
19,0.4,0.35,19,8,0.3,3,1000,100,False
20,0.4,0.35,20,9,0.3,3,1000,100,False
21,0.4,0.4,21,0,0.3,3,1000,100,False
22,0.4,0.4,22,0,0.3,3,1000,100,False
23,0.4,0.4,23,0,0.3,3,1000,100,False
24,0.45,0.05,24,8,0.3,3,1000,100,False
25,0.45,0.05,25,10,0.3,3,1000,100,False
26,0.45,0.05,26,10,0.3,3,1000,100,False
27,0.45,0.1,27,8,0.3,3,1000,100,False
28,0.45,0.1,28,9,0.3,3,1000,100,False
29,0.45,0.1,29,10,0.3,3,1000,100,False
30,0.45,0.15,30,10,0.3,3,1000,100,False
31,0.45,0.15,31,8,0.3,3,1000,100,False
32,0.45,0.15,32,9,0.3,3,1000,100,False
33,0.45,0.2,33,8,0.3,3,1000,100,False
34,0.45,0.2,34,8,0.3,3,1000,100,False
35,0.45,0.2,35,8,0.3,3,1000,100,False
36,0.45,0.25,36,8,0.3,3,1000,100,False
37,0.45,0.25,37,8,0.3,3,1000,100,False
38,0.45,0.25,38,8,0.3,3,1000,100,False
39,0.45,0.3,39,8,0.3,3,1000,100,False
40,0.45,0.3,40,8,0.3,3,1000,100,False
41,0.45,0.3,41,8,0.3,3,1000,100,False
42,0.45,0.35,42,8,0.3,3,1000,100,False
43,0.45,0.35,43,8,0.3,3,1000,100,False
44,0.45,0.35,44,8,0.3,3,1000,100,False
45,0.45,0.4,45,8,0.3,3,1000,100,False
46,0.45,0.4,46,8,0.3,3,1000,100,False
47,0.45,0.4,47,9,0.3,3,1000,100,False
48,0.5,0.05,48,9,0.3,3,1000,100,False
49,0.5,0.05,49,8,0.3,3,1000,100,False
50,0.5,0.05,50,9,0.3,3,1000,100,False
51,0.5,0.1,51,8,0.3,3,1000,100,False
52,0.5,0.1,52,8,0.3,3,1000,100,False
53,0.5,0.1,53,8,0.3,3,1000,100,False
54,0.5,0.15,54,8,0.3,3,1000,100,False
55,0.5,0.15,55,8,0.3,3,1000,100,False
56,0.5,0.15,56,8,0.3,3,1000,100,False
57,0.5,0.2,57,10,0.3,3,1000,100,False
58,0.5,0.2,58,8,0.3,3,1000,100,False
