,Buckets,Steps,assortativity,numClonePairs,numAnticlonePairs,PercentPolarized,num1AgreementPairs,num2AgreementPairs
0,98,0,-0.07958122486121033,2,3666,0.741010101010101,1165,117
1,96,0,-0.07694679256323907,4,3694,0.7470707070707071,1139,113
2,97,1,-0.05765263898365894,4,3702,0.7486868686868687,1130,114
3,99,2,-0.06043744610050439,1,3680,0.7436363636363637,1146,123
4,97,3,-0.06433298901749389,3,3664,0.7408080808080808,1164,119
5,98,4,-0.055850962436293165,2,3664,0.7406060606060606,1168,116
6,99,5,-0.0558864063458843,1,3631,0.7337373737373737,1193,125
7,99,6,-0.04743652815442673,1,3650,0.7375757575757576,1166,133
8,94,7,-0.05095110663734633,6,3653,0.7391919191919192,1148,143
9,93,8,-0.06091529522664863,7,3641,0.7369696969696969,1161,141
10,91,9,-0.0770493013829084,12,3680,0.7458585858585859,1107,151
11,89,10,-0.0778190495055805,18,3656,0.7422222222222222,1123,153
12,85,11,-0.06517630364261028,24,3642,0.7406060606060606,1125,159
13,84,12,-0.05578105432881127,25,3624,0.7371717171717171,1127,174
14,82,13,-0.05474425009956766,28,3577,0.7282828282828283,1146,199
15,80,14,-0.04366542991215166,28,3582,0.7292929292929293,1126,214
16,82,15,-0.06127303102699553,30,3631,0.7395959595959596,1035,254
17,79,16,-0.061050496498424554,37,3595,0.7337373737373737,1061,257
18,79,17,-0.0573802173410311,37,3541,0.7228282828282828,1100,272
19,81,18,-0.06582640660382433,36,3563,0.7270707070707071,1079,272
20,82,19,-0.05139783143102639,38,3538,0.7224242424242424,1124,250
21,80,20,-0.05313325780352116,33,3534,0.7206060606060606,1154,229
22,83,21,-0.05286366766820403,39,3499,0.7147474747474748,1181,231
23,81,22,-0.05569096892665685,43,3537,0.7232323232323232,1140,230
24,78,23,-0.06574661519128876,46,3520,0.7204040404040404,1118,266
25,78,24,-0.054864766678531914,46,3504,0.7171717171717171,1119,281
26,78,25,-0.04006107470690116,45,3505,0.7171717171717171,1118,282
27,78,26,-0.05503133382590805,45,3488,0.7137373737373738,1132,285
28,76,27,-0.05543061089161432,54,3426,0.703030303030303,1175,295
29,71,28,-0.05430912569867271,64,3422,0.7042424242424242,1126,338
30,70,29,-0.06515413360259,71,3380,0.6971717171717172,1160,339
31,72,30,-0.06617148757468201,72,3385,0.6983838383838383,1157,336
32,74,31,-0.05612204773461987,67,3411,0.7026262626262626,1148,324
33,71,32,-0.059269860543219054,80,3397,0.7024242424242424,1157,316
34,74,33,-0.06730250399344512,78,3411,0.7048484848484848,1147,314
35,75,34,-0.07905648619834454,73,3368,0.6951515151515152,1177,332
36,72,35,-0.08491469968371311,72,3397,0.7008080808080808,1105,376
37,74,36,-0.09682133371525166,73,3394,0.7004040404040404,1137,346
38,71,37,-0.10790048709484323,93,3338,0.6931313131313132,1172,347
39,66,38,-0.10816150865143419,96,3328,0.6917171717171717,1107,419
