,Run,Anticlones,Buckets,Clones,Steps,p,o,d,issues,l_steps,n_agents,CI2
0,0.3,184,2,1041,212,0.3,0.2,0.5,3,1000,50,True
22,0.3,49,2,1176,492,0.3,0.2,0.5,3,1000,50,True
21,0.3,141,2,1084,217,0.3,0.2,0.5,3,1000,50,True
20,0.3,141,2,1084,182,0.3,0.2,0.5,3,1000,50,True
19,0.3,96,2,1129,270,0.3,0.2,0.5,3,1000,50,True
18,0.3,600,2,625,193,0.3,0.2,0.5,3,1000,50,True
17,0.3,141,2,1084,294,0.3,0.2,0.5,3,1000,50,True
16,0.3,336,2,889,135,0.3,0.2,0.5,3,1000,50,True
15,0.3,525,2,700,73,0.3,0.2,0.5,3,1000,50,True
14,0.3,49,3,1158,51,0.3,0.2,0.5,3,1000,50,True
13,0.3,264,2,961,253,0.3,0.2,0.5,3,1000,50,True
23,0.3,49,2,1174,716,0.3,0.2,0.5,3,1000,50,True
12,0.3,301,2,924,175,0.3,0.2,0.5,3,1000,50,True
10,0.3,264,2,961,160,0.3,0.2,0.5,3,1000,50,True
9,0.3,301,2,924,152,0.3,0.2,0.5,3,1000,50,True
8,0.3,141,2,1084,194,0.3,0.2,0.5,3,1000,50,True
7,0.3,96,2,1129,439,0.3,0.2,0.5,3,1000,50,True
6,0.3,525,2,700,78,0.3,0.2,0.5,3,1000,50,True
5,0.3,369,2,856,140,0.3,0.2,0.5,3,1000,50,True
4,0.3,525,2,700,134,0.3,0.2,0.5,3,1000,50,True
3,0.3,96,2,1129,371,0.3,0.2,0.5,3,1000,50,True
2,0.3,96,2,1102,413,0.3,0.2,0.5,3,1000,50,True
1,0.3,96,2,1129,333,0.3,0.2,0.5,3,1000,50,True
11,0.3,264,2,961,173,0.3,0.2,0.5,3,1000,50,True
24,0.3,504,2,721,103,0.3,0.2,0.5,3,1000,50,True
