,CI2,o,d,Run,Buckets,p,issues,l_steps,n_agents
0,True,0.05,0.05,0,2,0.3,3,1000,100
1,True,0.05,0.05,1,2,0.3,3,1000,100
2,True,0.05,0.05,2,2,0.3,3,1000,100
3,True,0.05,0.1,3,2,0.3,3,1000,100
4,True,0.05,0.1,4,2,0.3,3,1000,100
5,True,0.05,0.1,5,2,0.3,3,1000,100
6,True,0.05,0.15,6,2,0.3,3,1000,100
7,True,0.05,0.15,7,2,0.3,3,1000,100
8,True,0.05,0.15,8,2,0.3,3,1000,100
9,True,0.05,0.2,9,2,0.3,3,1000,100
10,True,0.05,0.2,10,2,0.3,3,1000,100
11,True,0.05,0.2,11,2,0.3,3,1000,100
12,True,0.05,0.25,12,2,0.3,3,1000,100
13,True,0.05,0.25,13,2,0.3,3,1000,100
14,True,0.05,0.25,14,3,0.3,3,1000,100
15,True,0.05,0.3,15,2,0.3,3,1000,100
16,True,0.05,0.3,16,2,0.3,3,1000,100
17,True,0.05,0.3,17,2,0.3,3,1000,100
18,True,0.05,0.35,18,3,0.3,3,1000,100
19,True,0.05,0.35,19,2,0.3,3,1000,100
20,True,0.05,0.35,20,3,0.3,3,1000,100
21,True,0.05,0.4,21,2,0.3,3,1000,100
22,True,0.05,0.4,22,2,0.3,3,1000,100
23,True,0.05,0.4,23,2,0.3,3,1000,100
24,True,0.05,0.45,24,2,0.3,3,1000,100
25,True,0.05,0.45,25,2,0.3,3,1000,100
26,True,0.05,0.45,26,2,0.3,3,1000,100
27,True,0.05,0.5,27,2,0.3,3,1000,100
28,True,0.05,0.5,28,2,0.3,3,1000,100
29,True,0.05,0.5,29,2,0.3,3,1000,100
30,True,0.05,0.55,30,3,0.3,3,1000,100
31,True,0.05,0.55,31,2,0.3,3,1000,100
32,True,0.05,0.55,32,3,0.3,3,1000,100
33,True,0.05,0.6,33,2,0.3,3,1000,100
34,True,0.05,0.6,34,2,0.3,3,1000,100
35,True,0.05,0.6,35,2,0.3,3,1000,100
36,True,0.05,0.65,36,6,0.3,3,1000,100
37,True,0.05,0.65,37,3,0.3,3,1000,100
38,True,0.05,0.65,38,7,0.3,3,1000,100
39,True,0.05,0.7,39,5,0.3,3,1000,100
40,True,0.05,0.7,40,4,0.3,3,1000,100
41,True,0.05,0.7,41,9,0.3,3,1000,100
42,True,0.05,0.75,42,10,0.3,3,1000,100
43,True,0.05,0.75,43,5,0.3,3,1000,100
44,True,0.05,0.75,44,6,0.3,3,1000,100
45,True,0.05,0.8,45,15,0.3,3,1000,100
46,True,0.05,0.8,46,8,0.3,3,1000,100
47,True,0.05,0.8,47,14,0.3,3,1000,100
48,True,0.1,0.05,48,2,0.3,3,1000,100
49,True,0.1,0.05,49,2,0.3,3,1000,100
50,True,0.1,0.05,50,2,0.3,3,1000,100
51,True,0.1,0.1,51,2,0.3,3,1000,100
52,True,0.1,0.1,52,2,0.3,3,1000,100
53,True,0.1,0.1,53,2,0.3,3,1000,100
54,True,0.1,0.15,54,2,0.3,3,1000,100
55,True,0.1,0.15,55,2,0.3,3,1000,100
56,True,0.1,0.15,56,2,0.3,3,1000,100
57,True,0.1,0.2,57,3,0.3,3,1000,100
58,True,0.1,0.2,58,2,0.3,3,1000,100
59,True,0.1,0.2,59,2,0.3,3,1000,100
60,True,0.1,0.25,60,2,0.3,3,1000,100
61,True,0.1,0.25,61,2,0.3,3,1000,100
62,True,0.1,0.25,62,2,0.3,3,1000,100
63,True,0.1,0.3,63,2,0.3,3,1000,100
64,True,0.1,0.3,64,2,0.3,3,1000,100
65,True,0.1,0.3,65,2,0.3,3,1000,100
66,True,0.1,0.35,66,2,0.3,3,1000,100
67,True,0.1,0.35,67,2,0.3,3,1000,100
68,True,0.1,0.35,68,2,0.3,3,1000,100
69,True,0.1,0.4,69,2,0.3,3,1000,100
70,True,0.1,0.4,70,2,0.3,3,1000,100
71,True,0.1,0.4,71,2,0.3,3,1000,100
72,True,0.1,0.45,72,2,0.3,3,1000,100
73,True,0.1,0.45,73,2,0.3,3,1000,100
74,True,0.1,0.45,74,2,0.3,3,1000,100
75,True,0.1,0.5,75,2,0.3,3,1000,100
76,True,0.1,0.5,76,2,0.3,3,1000,100
77,True,0.1,0.5,77,2,0.3,3,1000,100
78,True,0.1,0.55,78,2,0.3,3,1000,100
79,True,0.1,0.55,79,2,0.3,3,1000,100
80,True,0.1,0.55,80,2,0.3,3,1000,100
81,True,0.1,0.6,81,5,0.3,3,1000,100
82,True,0.1,0.6,82,2,0.3,3,1000,100
83,True,0.1,0.6,83,2,0.3,3,1000,100
84,True,0.1,0.65,84,3,0.3,3,1000,100
85,True,0.1,0.65,85,5,0.3,3,1000,100
86,True,0.1,0.65,86,8,0.3,3,1000,100
87,True,0.1,0.7,87,7,0.3,3,1000,100
88,True,0.1,0.7,88,6,0.3,3,1000,100
89,True,0.1,0.7,89,6,0.3,3,1000,100
90,True,0.1,0.75,90,3,0.3,3,1000,100
91,True,0.1,0.75,91,5,0.3,3,1000,100
92,True,0.1,0.75,92,6,0.3,3,1000,100
93,True,0.1,0.8,93,7,0.3,3,1000,100
94,True,0.1,0.8,94,5,0.3,3,1000,100
95,True,0.1,0.8,95,8,0.3,3,1000,100
96,True,0.15,0.05,96,2,0.3,3,1000,100
97,True,0.15,0.05,97,2,0.3,3,1000,100
98,True,0.15,0.05,98,3,0.3,3,1000,100
99,True,0.15,0.1,99,2,0.3,3,1000,100
100,True,0.15,0.1,100,2,0.3,3,1000,100
101,True,0.15,0.1,101,2,0.3,3,1000,100
102,True,0.15,0.15,102,2,0.3,3,1000,100
103,True,0.15,0.15,103,2,0.3,3,1000,100
104,True,0.15,0.15,104,2,0.3,3,1000,100
105,True,0.15,0.2,105,2,0.3,3,1000,100
106,True,0.15,0.2,106,3,0.3,3,1000,100
107,True,0.15,0.2,107,2,0.3,3,1000,100
108,True,0.15,0.25,108,2,0.3,3,1000,100
109,True,0.15,0.25,109,2,0.3,3,1000,100
110,True,0.15,0.25,110,2,0.3,3,1000,100
111,True,0.15,0.3,111,2,0.3,3,1000,100
112,True,0.15,0.3,112,2,0.3,3,1000,100
113,True,0.15,0.3,113,2,0.3,3,1000,100
114,True,0.15,0.35,114,2,0.3,3,1000,100
115,True,0.15,0.35,115,2,0.3,3,1000,100
116,True,0.15,0.35,116,2,0.3,3,1000,100
117,True,0.15,0.4,117,2,0.3,3,1000,100
118,True,0.15,0.4,118,2,0.3,3,1000,100
119,True,0.15,0.4,119,2,0.3,3,1000,100
120,True,0.15,0.45,120,2,0.3,3,1000,100
121,True,0.15,0.45,121,2,0.3,3,1000,100
122,True,0.15,0.45,122,2,0.3,3,1000,100
123,True,0.15,0.5,123,2,0.3,3,1000,100
124,True,0.15,0.5,124,2,0.3,3,1000,100
125,True,0.15,0.5,125,2,0.3,3,1000,100
126,True,0.15,0.55,126,2,0.3,3,1000,100
127,True,0.15,0.55,127,3,0.3,3,1000,100
128,True,0.15,0.55,128,2,0.3,3,1000,100
129,True,0.15,0.6,129,2,0.3,3,1000,100
130,True,0.15,0.6,130,6,0.3,3,1000,100
131,True,0.15,0.6,131,2,0.3,3,1000,100
132,True,0.15,0.65,132,6,0.3,3,1000,100
133,True,0.15,0.65,133,6,0.3,3,1000,100
134,True,0.15,0.65,134,5,0.3,3,1000,100
135,True,0.15,0.7,135,4,0.3,3,1000,100
136,True,0.15,0.7,136,5,0.3,3,1000,100
137,True,0.15,0.7,137,5,0.3,3,1000,100
138,True,0.15,0.75,138,5,0.3,3,1000,100
139,True,0.15,0.75,139,6,0.3,3,1000,100
140,True,0.15,0.75,140,5,0.3,3,1000,100
141,True,0.15,0.8,141,5,0.3,3,1000,100
142,True,0.15,0.8,142,5,0.3,3,1000,100
143,True,0.15,0.8,143,3,0.3,3,1000,100
144,True,0.2,0.05,144,2,0.3,3,1000,100
145,True,0.2,0.05,145,2,0.3,3,1000,100
146,True,0.2,0.05,146,2,0.3,3,1000,100
147,True,0.2,0.1,147,3,0.3,3,1000,100
148,True,0.2,0.1,148,2,0.3,3,1000,100
149,True,0.2,0.1,149,2,0.3,3,1000,100
150,True,0.2,0.15,150,2,0.3,3,1000,100
151,True,0.2,0.15,151,2,0.3,3,1000,100
152,True,0.2,0.15,152,2,0.3,3,1000,100
153,True,0.2,0.2,153,2,0.3,3,1000,100
154,True,0.2,0.2,154,2,0.3,3,1000,100
155,True,0.2,0.2,155,2,0.3,3,1000,100
156,True,0.2,0.25,156,2,0.3,3,1000,100
157,True,0.2,0.25,157,2,0.3,3,1000,100
158,True,0.2,0.25,158,2,0.3,3,1000,100
159,True,0.2,0.3,159,2,0.3,3,1000,100
160,True,0.2,0.3,160,2,0.3,3,1000,100
161,True,0.2,0.3,161,2,0.3,3,1000,100
162,True,0.2,0.35,162,2,0.3,3,1000,100
163,True,0.2,0.35,163,2,0.3,3,1000,100
164,True,0.2,0.35,164,2,0.3,3,1000,100
165,True,0.2,0.4,165,2,0.3,3,1000,100
166,True,0.2,0.4,166,2,0.3,3,1000,100
167,True,0.2,0.4,167,2,0.3,3,1000,100
168,True,0.2,0.45,168,2,0.3,3,1000,100
169,True,0.2,0.45,169,2,0.3,3,1000,100
170,True,0.2,0.45,170,2,0.3,3,1000,100
171,True,0.2,0.5,171,2,0.3,3,1000,100
172,True,0.2,0.5,172,2,0.3,3,1000,100
173,True,0.2,0.5,173,2,0.3,3,1000,100
174,True,0.2,0.55,174,2,0.3,3,1000,100
175,True,0.2,0.55,175,2,0.3,3,1000,100
176,True,0.2,0.55,176,2,0.3,3,1000,100
177,True,0.2,0.6,177,3,0.3,3,1000,100
178,True,0.2,0.6,178,3,0.3,3,1000,100
179,True,0.2,0.6,179,7,0.3,3,1000,100
180,True,0.2,0.65,180,3,0.3,3,1000,100
181,True,0.2,0.65,181,5,0.3,3,1000,100
182,True,0.2,0.65,182,2,0.3,3,1000,100
183,True,0.2,0.7,183,3,0.3,3,1000,100
184,True,0.2,0.7,184,2,0.3,3,1000,100
185,True,0.2,0.7,185,2,0.3,3,1000,100
186,True,0.2,0.75,186,2,0.3,3,1000,100
187,True,0.2,0.75,187,1,0.3,3,1000,100
188,True,0.2,0.75,188,3,0.3,3,1000,100
189,True,0.2,0.8,189,2,0.3,3,1000,100
190,True,0.2,0.8,190,2,0.3,3,1000,100
191,True,0.2,0.8,191,2,0.3,3,1000,100
192,True,0.25,0.05,192,2,0.3,3,1000,100
193,True,0.25,0.05,193,2,0.3,3,1000,100
194,True,0.25,0.05,194,2,0.3,3,1000,100
195,True,0.25,0.1,195,2,0.3,3,1000,100
196,True,0.25,0.1,196,2,0.3,3,1000,100
197,True,0.25,0.1,197,2,0.3,3,1000,100
198,True,0.25,0.15,198,3,0.3,3,1000,100
199,True,0.25,0.15,199,2,0.3,3,1000,100
200,True,0.25,0.15,200,2,0.3,3,1000,100
201,True,0.25,0.2,201,2,0.3,3,1000,100
202,True,0.25,0.2,202,2,0.3,3,1000,100
203,True,0.25,0.2,203,2,0.3,3,1000,100
204,True,0.25,0.25,204,2,0.3,3,1000,100
205,True,0.25,0.25,205,2,0.3,3,1000,100
206,True,0.25,0.25,206,2,0.3,3,1000,100
207,True,0.25,0.3,207,2,0.3,3,1000,100
208,True,0.25,0.3,208,2,0.3,3,1000,100
209,True,0.25,0.3,209,2,0.3,3,1000,100
210,True,0.25,0.35,210,2,0.3,3,1000,100
211,True,0.25,0.35,211,2,0.3,3,1000,100
212,True,0.25,0.35,212,2,0.3,3,1000,100
213,True,0.25,0.4,213,2,0.3,3,1000,100
214,True,0.25,0.4,214,2,0.3,3,1000,100
215,True,0.25,0.4,215,2,0.3,3,1000,100
216,True,0.25,0.45,216,2,0.3,3,1000,100
217,True,0.25,0.45,217,2,0.3,3,1000,100
218,True,0.25,0.45,218,2,0.3,3,1000,100
219,True,0.25,0.5,219,4,0.3,3,1000,100
220,True,0.25,0.5,220,2,0.3,3,1000,100
221,True,0.25,0.5,221,2,0.3,3,1000,100
222,True,0.25,0.55,222,2,0.3,3,1000,100
223,True,0.25,0.55,223,2,0.3,3,1000,100
224,True,0.25,0.55,224,3,0.3,3,1000,100
225,True,0.25,0.6,225,4,0.3,3,1000,100
226,True,0.25,0.6,226,2,0.3,3,1000,100
227,True,0.25,0.6,227,2,0.3,3,1000,100
228,True,0.25,0.65,228,2,0.3,3,1000,100
229,True,0.25,0.65,229,4,0.3,3,1000,100
