,p,Run,avg_assort,issues,l_steps,n_agents,CI2,d,o
0,0.05,0,0.3114789747360053,3,1000,100,True,0.7,0.4
1,0.05,1,0.05005280223200156,3,1000,100,True,0.7,0.4
2,0.05,2,0.4108730975756188,3,1000,100,True,0.7,0.4
3,0.05,3,0.5144399557397362,3,1000,100,True,0.7,0.4
4,0.05,4,0.43285923061583653,3,1000,100,True,0.7,0.4
5,0.05,5,0.42850233096010676,3,1000,100,True,0.7,0.4
6,0.05,6,0.0299333732874732,3,1000,100,True,0.7,0.4
7,0.05,7,0.5399197024602232,3,1000,100,True,0.7,0.4
8,0.05,8,0.5266992228136982,3,1000,100,True,0.7,0.4
9,0.05,9,0.501390037947432,3,1000,100,True,0.7,0.4
10,0.1,10,0.14579047217240357,3,1000,100,True,0.7,0.4
11,0.1,11,0.14302283330008628,3,1000,100,True,0.7,0.4
12,0.1,12,0.16702604421600098,3,1000,100,True,0.7,0.4
13,0.1,13,0.17274811507036622,3,1000,100,True,0.7,0.4
14,0.1,14,0.1763388792889787,3,1000,100,True,0.7,0.4
15,0.1,15,0.21061573264864752,3,1000,100,True,0.7,0.4
16,0.1,16,0.1633294583558905,3,1000,100,True,0.7,0.4
17,0.1,17,0.18436862111832872,3,1000,100,True,0.7,0.4
18,0.1,18,0.1645989008766753,3,1000,100,True,0.7,0.4
19,0.1,19,0.0014966919739799085,3,1000,100,True,0.7,0.4
20,0.15000000000000002,20,0.13986079255953662,3,1000,100,True,0.7,0.4
21,0.15000000000000002,21,0.1029546687292352,3,1000,100,True,0.7,0.4
22,0.15000000000000002,22,0.1022434458257679,3,1000,100,True,0.7,0.4
23,0.15000000000000002,23,0.08416200347683395,3,1000,100,True,0.7,0.4
24,0.15000000000000002,24,0.07174709394257929,3,1000,100,True,0.7,0.4
25,0.15000000000000002,25,0.09634974554358984,3,1000,100,True,0.7,0.4
26,0.15000000000000002,26,0.11892012768914995,3,1000,100,True,0.7,0.4
27,0.15000000000000002,27,0.11589132525415619,3,1000,100,True,0.7,0.4
28,0.15000000000000002,28,0.12199875900136074,3,1000,100,True,0.7,0.4
29,0.15000000000000002,29,0.06369827982100496,3,1000,100,True,0.7,0.4
30,0.2,30,0.06989713922148012,3,1000,100,True,0.7,0.4
31,0.2,31,0.07026653486421983,3,1000,100,True,0.7,0.4
32,0.2,32,0.04950592640986947,3,1000,100,True,0.7,0.4
33,0.2,33,0.04439189725818874,3,1000,100,True,0.7,0.4
34,0.2,34,0.052071509702457754,3,1000,100,True,0.7,0.4
35,0.2,35,0.05451281438274879,3,1000,100,True,0.7,0.4
36,0.2,36,0.048723695171998954,3,1000,100,True,0.7,0.4
37,0.2,37,0.07412356356780932,3,1000,100,True,0.7,0.4
38,0.2,38,0.07644493979685318,3,1000,100,True,0.7,0.4
39,0.2,39,0.060342023728102955,3,1000,100,True,0.7,0.4
40,0.25,40,0.05537399366072116,3,1000,100,True,0.7,0.4
41,0.25,41,0.04912765085056412,3,1000,100,True,0.7,0.4
42,0.25,42,0.031740454005819194,3,1000,100,True,0.7,0.4
43,0.25,43,0.025260546846905624,3,1000,100,True,0.7,0.4
44,0.25,44,0.02585251651929497,3,1000,100,True,0.7,0.4
45,0.25,45,0.0366771108233685,3,1000,100,True,0.7,0.4
46,0.25,46,0.040788860120692605,3,1000,100,True,0.7,0.4
47,0.25,47,0.04878892460050941,3,1000,100,True,0.7,0.4
48,0.25,48,0.06648317339159344,3,1000,100,True,0.7,0.4
49,0.25,49,0.04051495857909067,3,1000,100,True,0.7,0.4
50,0.3,50,0.03541284835102806,3,1000,100,True,0.7,0.4
51,0.3,51,0.03296380157847383,3,1000,100,True,0.7,0.4
52,0.3,52,0.02582749787671797,3,1000,100,True,0.7,0.4
53,0.3,53,0.03901145435973122,3,1000,100,True,0.7,0.4
54,0.3,54,-0.007956979530236103,3,1000,100,True,0.7,0.4
55,0.3,55,0.03133903426628743,3,1000,100,True,0.7,0.4
56,0.3,56,0.032905245907285725,3,1000,100,True,0.7,0.4
57,0.3,57,0.009184108986021865,3,1000,100,True,0.7,0.4
58,0.3,58,0.05018557696598633,3,1000,100,True,0.7,0.4
59,0.3,59,0.03284276799464305,3,1000,100,True,0.7,0.4
60,0.35000000000000003,60,0.024001024916397,3,1000,100,True,0.7,0.4
61,0.35000000000000003,61,0.03948692037653339,3,1000,100,True,0.7,0.4
62,0.35000000000000003,62,0.028254701213152298,3,1000,100,True,0.7,0.4
63,0.35000000000000003,63,0.02410057803747734,3,1000,100,True,0.7,0.4
64,0.35000000000000003,64,0.04602232208482276,3,1000,100,True,0.7,0.4
65,0.35000000000000003,65,-0.004583098124054673,3,1000,100,True,0.7,0.4
66,0.35000000000000003,66,0.017070944650794378,3,1000,100,True,0.7,0.4
67,0.35000000000000003,67,0.021536316222091272,3,1000,100,True,0.7,0.4
68,0.35000000000000003,68,0.027419594068216795,3,1000,100,True,0.7,0.4
