,o,Run,avg_assort,p,issues,l_steps,n_agents,CI2,d
0,0.05,0,0.004870611593632,0.05,3,1000,100,True,1
1,0.05,1,0.156496330246316,0.05,3,1000,100,True,1
2,0.05,2,0.100024091776244,0.05,3,1000,100,True,1
3,0.05,3,0.129148283668524,0.05,3,1000,100,True,1
4,0.05,4,0.115895249764719,0.05,3,1000,100,True,1
5,0.05,5,0.070720231849718,0.05,3,1000,100,True,1
6,0.05,6,0.029185065129667,0.05,3,1000,100,True,1
7,0.05,7,0.085000830323345,0.05,3,1000,100,True,1
8,0.05,8,0.001931122417483,0.05,3,1000,100,True,1
9,0.05,9,0.000176087117435,0.05,3,1000,100,True,1
10,0.1,10,0.126789184051184,0.05,3,1000,100,True,1
11,0.1,11,-0.091906015610869,0.05,3,1000,100,True,1
12,0.1,12,-0.00934255414589,0.05,3,1000,100,True,1
13,0.1,13,0.194086077804839,0.05,3,1000,100,True,1
14,0.1,14,0.182167893864265,0.05,3,1000,100,True,1
15,0.1,15,-0.034307300601416,0.05,3,1000,100,True,1
16,0.1,16,0.053765863697646,0.05,3,1000,100,True,1
17,0.1,17,0.002539506225614,0.05,3,1000,100,True,1
18,0.1,18,0.00574468026683,0.05,3,1000,100,True,1
19,0.1,19,0.135972469471482,0.05,3,1000,100,True,1
20,0.15,20,0.197999618310361,0.05,3,1000,100,True,1
21,0.15,21,0.04274109441488,0.05,3,1000,100,True,1
22,0.15,22,-0.007388799252278,0.05,3,1000,100,True,1
23,0.15,23,-0.001968033790088,0.05,3,1000,100,True,1
24,0.15,24,0.007325051414778,0.05,3,1000,100,True,1
25,0.15,25,0.001898540659368,0.05,3,1000,100,True,1
26,0.15,26,0.083834328063667,0.05,3,1000,100,True,1
27,0.15,27,-0.000441459211448,0.05,3,1000,100,True,1
28,0.15,28,0.010093500327436,0.05,3,1000,100,True,1
29,0.15,29,-0.00517197704625,0.05,3,1000,100,True,1
30,0.2,30,0.004882752190961,0.05,3,1000,100,True,1
31,0.2,31,0.042769693599294,0.05,3,1000,100,True,1
