,o,Run,avg_assort,p,issues,l_steps,n_agents,CI2,d
0,0.05,0,0.008848337275012087,0.05,3,1000,100,True,1
1,0.05,1,0.11818344642239338,0.05,3,1000,100,True,1
2,0.05,2,0.1234444859397897,0.05,3,1000,100,True,1
3,0.05,3,0.07960220190881459,0.05,3,1000,100,True,1
4,0.05,4,0.17443945711952766,0.05,3,1000,100,True,1
5,0.05,5,0.015584750986430647,0.05,3,1000,100,True,1
6,0.05,6,0.11738848207054307,0.05,3,1000,100,True,1
7,0.05,7,0.17746276560447652,0.05,3,1000,100,True,1
8,0.05,8,-0.06650115775119679,0.05,3,1000,100,True,1
9,0.05,9,0.023059932907925986,0.05,3,1000,100,True,1
10,0.07,10,0.004536745362119082,0.05,3,1000,100,True,1
11,0.07,11,0.0203341770500385,0.05,3,1000,100,True,1
12,0.07,12,0.1295144283940448,0.05,3,1000,100,True,1
13,0.07,13,-0.06464763925408963,0.05,3,1000,100,True,1
14,0.07,14,-0.025120326818841437,0.05,3,1000,100,True,1
15,0.07,15,-5.5231534885157495e-05,0.05,3,1000,100,True,1
16,0.07,16,0.10801580110789012,0.05,3,1000,100,True,1
17,0.07,17,0.09627110826883663,0.05,3,1000,100,True,1
18,0.07,18,0.053389632825628225,0.05,3,1000,100,True,1
19,0.07,19,0.15369760017145714,0.05,3,1000,100,True,1
20,0.09000000000000001,20,0.23988384841046298,0.05,3,1000,100,True,1
21,0.09000000000000001,21,-0.007748225305755196,0.05,3,1000,100,True,1
22,0.09000000000000001,22,-0.0695679897144766,0.05,3,1000,100,True,1
23,0.09000000000000001,23,0.1594060167390371,0.05,3,1000,100,True,1
24,0.09000000000000001,24,0.05897125787682359,0.05,3,1000,100,True,1
25,0.09000000000000001,25,0.015608625253189873,0.05,3,1000,100,True,1
26,0.09000000000000001,26,0.015001986763896857,0.05,3,1000,100,True,1
27,0.09000000000000001,27,0.21522891848618667,0.05,3,1000,100,True,1
28,0.09000000000000001,28,0.1137677233903094,0.05,3,1000,100,True,1
29,0.09000000000000001,29,0.07665340144666911,0.05,3,1000,100,True,1
30,0.11000000000000001,30,0.11001989728352622,0.05,3,1000,100,True,1
31,0.11000000000000001,31,0.3994731828010492,0.05,3,1000,100,True,1
32,0.11000000000000001,32,0.13595209535904113,0.05,3,1000,100,True,1
33,0.11000000000000001,33,0.06847390199409455,0.05,3,1000,100,True,1
34,0.11000000000000001,34,-0.012756346653170604,0.05,3,1000,100,True,1
35,0.11000000000000001,35,0.06502859907376239,0.05,3,1000,100,True,1
36,0.11000000000000001,36,0.03230959103958495,0.05,3,1000,100,True,1
37,0.11000000000000001,37,0.29603320745722167,0.05,3,1000,100,True,1
38,0.11000000000000001,38,-0.10973824884836998,0.05,3,1000,100,True,1
39,0.11000000000000001,39,0.004351959122231623,0.05,3,1000,100,True,1
40,0.13,40,-0.008819812776151957,0.05,3,1000,100,True,1
41,0.13,41,0.17317026917328696,0.05,3,1000,100,True,1
42,0.13,42,0.40105888793137895,0.05,3,1000,100,True,1
43,0.13,43,0.03148241415500405,0.05,3,1000,100,True,1
44,0.13,44,-0.001995487618665437,0.05,3,1000,100,True,1
45,0.13,45,0.17136600601845173,0.05,3,1000,100,True,1
46,0.13,46,0.4351393585228029,0.05,3,1000,100,True,1
47,0.13,47,0.4369741209021123,0.05,3,1000,100,True,1
48,0.13,48,0.010012896560168948,0.05,3,1000,100,True,1
49,0.13,49,-0.011086191698455766,0.05,3,1000,100,True,1
50,0.15000000000000002,50,0.13903795785101616,0.05,3,1000,100,True,1
51,0.15000000000000002,51,0.04652417959410184,0.05,3,1000,100,True,1
52,0.15000000000000002,52,0.42294154778090604,0.05,3,1000,100,True,1
53,0.15000000000000002,53,0.021438659788466655,0.05,3,1000,100,True,1
54,0.15000000000000002,54,0.0517483289279623,0.05,3,1000,100,True,1
55,0.15000000000000002,55,0.06064289633239253,0.05,3,1000,100,True,1
56,0.15000000000000002,56,0.014420345950244882,0.05,3,1000,100,True,1
57,0.15000000000000002,57,0.18655483245293336,0.05,3,1000,100,True,1
58,0.15000000000000002,58,0.0881136295871326,0.05,3,1000,100,True,1
59,0.15000000000000002,59,-0.017396623223348687,0.05,3,1000,100,True,1
60,0.17000000000000004,60,0.2971728622571681,0.05,3,1000,100,True,1
61,0.17000000000000004,61,0.0021021072177305976,0.05,3,1000,100,True,1
62,0.17000000000000004,62,0.3953085297789367,0.05,3,1000,100,True,1
63,0.17000000000000004,63,0.009110951645441753,0.05,3,1000,100,True,1
64,0.17000000000000004,64,0.0052403260609109195,0.05,3,1000,100,True,1
65,0.17000000000000004,65,0.09563400342422833,0.05,3,1000,100,True,1
66,0.17000000000000004,66,0.4038469914351659,0.05,3,1000,100,True,1
67,0.17000000000000004,67,0.03237060065327304,0.05,3,1000,100,True,1
