,d,o,Run,Buckets,p,issues,l_steps,n_agents,CI2
0,0.4,0.05,0,2,0.3,3,1000,100,True
1,0.4,0.05,1,2,0.3,3,1000,100,True
2,0.4,0.05,2,2,0.3,3,1000,100,True
3,0.4,0.1,3,2,0.3,3,1000,100,True
4,0.4,0.1,4,2,0.3,3,1000,100,True
5,0.4,0.1,5,2,0.3,3,1000,100,True
6,0.4,0.15,6,2,0.3,3,1000,100,True
7,0.4,0.15,7,2,0.3,3,1000,100,True
8,0.4,0.15,8,3,0.3,3,1000,100,True
9,0.4,0.2,9,2,0.3,3,1000,100,True
10,0.4,0.2,10,2,0.3,3,1000,100,True
11,0.4,0.2,11,2,0.3,3,1000,100,True
12,0.4,0.25,12,2,0.3,3,1000,100,True
13,0.4,0.25,13,2,0.3,3,1000,100,True
14,0.4,0.25,14,2,0.3,3,1000,100,True
15,0.4,0.3,15,2,0.3,3,1000,100,True
16,0.4,0.3,16,2,0.3,3,1000,100,True
17,0.4,0.3,17,2,0.3,3,1000,100,True
18,0.4,0.35,18,2,0.3,3,1000,100,True
19,0.4,0.35,19,2,0.3,3,1000,100,True
20,0.4,0.35,20,2,0.3,3,1000,100,True
21,0.4,0.4,21,0,0.3,3,1000,100,True
22,0.4,0.4,22,0,0.3,3,1000,100,True
23,0.4,0.4,23,0,0.3,3,1000,100,True
24,0.45,0.05,24,2,0.3,3,1000,100,True
25,0.45,0.05,25,2,0.3,3,1000,100,True
26,0.45,0.05,26,2,0.3,3,1000,100,True
27,0.45,0.1,27,2,0.3,3,1000,100,True
28,0.45,0.1,28,2,0.3,3,1000,100,True
29,0.45,0.1,29,2,0.3,3,1000,100,True
30,0.45,0.15,30,2,0.3,3,1000,100,True
31,0.45,0.15,31,2,0.3,3,1000,100,True
32,0.45,0.15,32,2,0.3,3,1000,100,True
33,0.45,0.2,33,2,0.3,3,1000,100,True
34,0.45,0.2,34,2,0.3,3,1000,100,True
35,0.45,0.2,35,2,0.3,3,1000,100,True
36,0.45,0.25,36,2,0.3,3,1000,100,True
