,o,d,Buckets
0,0.05,0.4,9.333333333333334
1,0.1,0.4,8.0
2,0.15,0.4,8.333333333333334
3,0.2,0.4,8.0
4,0.25,0.4,8.333333333333334
5,0.3,0.4,8.0
6,0.35,0.4,8.333333333333334
7,0.4,0.4,0.0
8,0.05,0.45,9.333333333333334
9,0.1,0.45,9.0
10,0.15,0.45,9.0
11,0.2,0.45,8.0
12,0.25,0.45,8.0
13,0.3,0.45,8.0
14,0.35,0.45,8.0
15,0.4,0.45,8.333333333333334
16,0.05,0.5,8.666666666666666
17,0.1,0.5,8.0
18,0.15,0.5,8.0
19,0.2,0.5,8.666666666666666
20,0.25,0.5,8.0
21,0.3,0.5,8.0
22,0.35,0.5,8.0
23,0.4,0.5,8.333333333333334
24,0.05,0.55,25.666666666666668
25,0.1,0.55,21.0
26,0.15,0.55,24.0
27,0.2,0.55,23.333333333333332
28,0.25,0.55,21.666666666666668
29,0.3,0.55,20.666666666666668
30,0.35,0.55,19.666666666666668
31,0.4,0.55,14.0
32,0.05,0.6,40.333333333333336
33,0.1,0.6,36.0
34,0.15,0.6,26.333333333333332
35,0.2,0.6,28.666666666666668
36,0.25,0.6,27.0
37,0.3,0.6,27.333333333333332
38,0.35,0.6,25.0
39,0.4,0.6,20.666666666666668
40,0.05,0.65,53.333333333333336
41,0.1,0.65,40.0
42,0.15,0.65,29.333333333333332
43,0.2,0.65,28.333333333333332
44,0.25,0.65,28.0
45,0.3,0.65,28.0
46,0.35,0.65,23.666666666666668
47,0.4,0.65,15.333333333333334
48,0.05,0.7,70.66666666666667
49,0.1,0.7,56.0
50,0.15,0.7,35.666666666666664
51,0.2,0.7,30.333333333333332
52,0.25,0.7,26.333333333333332
53,0.3,0.7,23.666666666666668
54,0.35,0.7,13.0
55,0.4,0.7,9.333333333333334
56,0.05,0.75,82.66666666666667
57,0.1,0.75,62.666666666666664
58,0.15,0.75,43.0
59,0.2,0.75,32.0
60,0.25,0.75,25.666666666666668
61,0.3,0.75,20.0
62,0.35,0.75,10.0
63,0.4,0.75,7.0
64,0.05,0.8,90.66666666666667
65,0.1,0.8,66.0
66,0.15,0.8,43.666666666666664
67,0.2,0.8,26.666666666666668
68,0.25,0.8,14.0
69,0.3,0.8,12.333333333333334
70,0.35,0.8,7.666666666666667
71,0.4,0.8,4.333333333333333
72,0.05,0.85,96.0
73,0.1,0.85,72.0
74,0.15,0.85,47.666666666666664
75,0.2,0.85,27.333333333333332
76,0.25,0.85,15.666666666666666
77,0.3,0.85,8.666666666666666
78,0.35,0.85,4.0
79,0.4,0.85,4.666666666666667
80,0.05,0.9,97.0
81,0.1,0.9,72.66666666666667
82,0.15,0.9,35.666666666666664
83,0.2,0.9,24.666666666666668
84,0.25,0.9,11.333333333333334
85,0.3,0.9,5.333333333333333
86,0.35,0.9,5.333333333333333
87,0.4,0.9,3.0
