,m,Run,Buckets,Density,issues,l_steps,CI2,d,o,n_agents
0,1,4,34,0.02,4,1500,True,0.55,0.1,100
152,16,4,2,0.27151515151515154,4,1500,True,0.55,0.1,100
153,16,4,2,0.27151515151515154,4,1500,True,0.55,0.1,100
154,16,4,2,0.27151515151515154,4,1500,True,0.55,0.1,100
155,16,4,2,0.27151515151515154,4,1500,True,0.55,0.1,100
156,16,4,2,0.27151515151515154,4,1500,True,0.55,0.1,100
157,17,4,4,0.28505050505050505,4,1500,True,0.55,0.1,100
158,16,4,2,0.27151515151515154,4,1500,True,0.55,0.1,100
159,16,4,2,0.27151515151515154,4,1500,True,0.55,0.1,100
160,17,4,2,0.28505050505050505,4,1500,True,0.55,0.1,100
161,17,4,3,0.28505050505050505,4,1500,True,0.55,0.1,100
162,17,4,2,0.28505050505050505,4,1500,True,0.55,0.1,100
163,17,4,2,0.28505050505050505,4,1500,True,0.55,0.1,100
151,16,4,2,0.27151515151515154,4,1500,True,0.55,0.1,100
164,17,4,2,0.28505050505050505,4,1500,True,0.55,0.1,100
166,17,4,2,0.28505050505050505,4,1500,True,0.55,0.1,100
167,18,4,2,0.29818181818181816,4,1500,True,0.55,0.1,100
168,17,4,2,0.28505050505050505,4,1500,True,0.55,0.1,100
169,17,4,2,0.28505050505050505,4,1500,True,0.55,0.1,100
170,18,4,2,0.29818181818181816,4,1500,True,0.55,0.1,100
171,16,4,20,0.27151515151515154,4,1500,True,0.55,0.1,100
172,18,4,2,0.29818181818181816,4,1500,True,0.55,0.1,100
173,18,4,2,0.29818181818181816,4,1500,True,0.55,0.1,100
174,18,4,2,0.29818181818181816,4,1500,True,0.55,0.1,100
175,18,4,2,0.29818181818181816,4,1500,True,0.55,0.1,100
176,18,4,2,0.29818181818181816,4,1500,True,0.55,0.1,100
177,18,4,2,0.29818181818181816,4,1500,True,0.55,0.1,100
165,17,4,2,0.28505050505050505,4,1500,True,0.55,0.1,100
178,18,4,2,0.29818181818181816,4,1500,True,0.55,0.1,100
150,16,4,2,0.27151515151515154,4,1500,True,0.55,0.1,100
148,15,4,2,0.25757575757575757,4,1500,True,0.55,0.1,100
122,13,4,2,0.22848484848484849,4,1500,True,0.55,0.1,100
123,13,4,2,0.22848484848484849,4,1500,True,0.55,0.1,100
124,13,4,3,0.22848484848484849,4,1500,True,0.55,0.1,100
125,13,4,2,0.22848484848484849,4,1500,True,0.55,0.1,100
126,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
127,12,4,2,0.21333333333333335,4,1500,True,0.55,0.1,100
128,13,4,2,0.22848484848484849,4,1500,True,0.55,0.1,100
129,13,4,2,0.22848484848484849,4,1500,True,0.55,0.1,100
130,13,4,2,0.22848484848484849,4,1500,True,0.55,0.1,100
131,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
132,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
133,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
149,15,4,2,0.25757575757575757,4,1500,True,0.55,0.1,100
134,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
136,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
137,15,4,3,0.25757575757575757,4,1500,True,0.55,0.1,100
138,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
139,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
140,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
141,15,4,3,0.25757575757575757,4,1500,True,0.55,0.1,100
142,15,4,2,0.25757575757575757,4,1500,True,0.55,0.1,100
143,15,4,2,0.25757575757575757,4,1500,True,0.55,0.1,100
144,15,4,2,0.25757575757575757,4,1500,True,0.55,0.1,100
145,15,4,2,0.25757575757575757,4,1500,True,0.55,0.1,100
146,15,4,2,0.25757575757575757,4,1500,True,0.55,0.1,100
147,15,4,3,0.25757575757575757,4,1500,True,0.55,0.1,100
135,14,4,2,0.24323232323232324,4,1500,True,0.55,0.1,100
121,13,4,3,0.22848484848484849,4,1500,True,0.55,0.1,100
179,18,4,3,0.29818181818181816,4,1500,True,0.55,0.1,100
181,19,4,2,0.3109090909090909,4,1500,True,0.55,0.1,100
212,22,4,2,0.3466666666666667,4,1500,True,0.55,0.1,100
