,k,p,Run,Buckets,Density,issues,l_steps,CI2,d,o,n_agents
0,2,0.05,4,52,0.020202020202020204,4,1500,True,0.55,0.1,100
863,30,0.45000000000000007,4,3,0.30303030303030304,4,1500,True,0.55,0.1,100
862,30,0.45000000000000007,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
861,30,0.45000000000000007,4,3,0.30303030303030304,4,1500,True,0.55,0.1,100
860,30,0.45000000000000007,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
859,30,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
858,30,0.45000000000000007,4,3,0.30303030303030304,4,1500,True,0.55,0.1,100
857,30,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
864,30,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
856,30,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
854,30,0.25000000000000006,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
853,30,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
852,30,0.25000000000000006,4,3,0.30303030303030304,4,1500,True,0.55,0.1,100
851,30,0.25000000000000006,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
850,30,0.25000000000000006,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
849,30,0.25000000000000006,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
848,30,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
855,30,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
847,30,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
865,30,0.5500000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
867,30,0.5500000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
883,31,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
882,31,0.25000000000000006,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
881,31,0.25000000000000006,4,3,0.30303030303030304,4,1500,True,0.55,0.1,100
880,31,0.25000000000000006,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
879,31,0.25000000000000006,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
878,31,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
877,31,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
866,30,0.5500000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
876,31,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
874,31,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
873,31,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
872,31,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
871,31,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
870,31,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
869,30,0.5500000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
868,30,0.5500000000000002,4,3,0.30303030303030304,4,1500,True,0.55,0.1,100
875,31,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
884,31,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
846,30,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
844,30,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
823,29,0.25000000000000006,4,3,0.2828282828282828,4,1500,True,0.55,0.1,100
822,29,0.25000000000000006,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
821,29,0.25000000000000006,4,3,0.2828282828282828,4,1500,True,0.55,0.1,100
820,29,0.25000000000000006,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
819,29,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
818,29,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
817,29,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
824,29,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
816,29,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
814,29,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
813,29,0.05,4,3,0.2828282828282828,4,1500,True,0.55,0.1,100
812,29,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
811,29,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
810,28,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
809,28,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
808,28,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
815,29,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
845,30,0.15000000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
825,29,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
827,29,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
843,30,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
842,30,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
841,30,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
840,30,0.05,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
839,29,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
838,29,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
837,29,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
826,29,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
836,29,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
834,29,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
833,29,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
832,29,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
831,29,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
830,29,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
829,29,0.35000000000000003,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
828,29,0.25000000000000006,4,3,0.2828282828282828,4,1500,True,0.55,0.1,100
835,29,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
885,31,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
886,31,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
887,31,0.25000000000000006,4,3,0.30303030303030304,4,1500,True,0.55,0.1,100
944,33,0.35000000000000003,4,3,0.32323232323232326,4,1500,True,0.55,0.1,100
943,33,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
942,33,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
941,33,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
940,33,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
939,33,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
938,33,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
945,33,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
937,33,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
935,33,0.05,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
934,33,0.05,4,3,0.32323232323232326,4,1500,True,0.55,0.1,100
933,33,0.05,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
932,33,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
931,32,0.5500000000000002,4,3,0.32323232323232326,4,1500,True,0.55,0.1,100
930,33,0.05,4,3,0.32323232323232326,4,1500,True,0.55,0.1,100
929,32,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
936,33,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
928,33,0.05,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
946,33,0.25000000000000006,4,3,0.32323232323232326,4,1500,True,0.55,0.1,100
948,33,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
964,34,0.15000000000000002,4,3,0.3434343434343434,4,1500,True,0.55,0.1,100
963,34,0.05,4,2,0.3434343434343434,4,1500,True,0.55,0.1,100
962,34,0.05,4,2,0.3434343434343434,4,1500,True,0.55,0.1,100
961,33,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
960,34,0.05,4,3,0.3434343434343434,4,1500,True,0.55,0.1,100
959,33,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
958,34,0.05,4,2,0.3434343434343434,4,1500,True,0.55,0.1,100
947,33,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
957,33,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
955,33,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
954,33,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
953,33,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
952,33,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
951,33,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
950,33,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
949,33,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
956,33,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
927,32,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
926,32,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
925,32,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
903,32,0.05,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
902,32,0.05,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
901,32,0.05,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
900,32,0.05,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
899,31,0.5500000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
898,31,0.5500000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
897,31,0.5500000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
904,32,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
896,31,0.45000000000000007,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
894,31,0.5500000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
893,31,0.5500000000000002,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
892,31,0.45000000000000007,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
891,31,0.45000000000000007,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
890,31,0.45000000000000007,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
889,31,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
888,31,0.35000000000000003,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
895,31,0.45000000000000007,4,2,0.30303030303030304,4,1500,True,0.55,0.1,100
905,32,0.15000000000000002,4,3,0.32323232323232326,4,1500,True,0.55,0.1,100
906,32,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
907,32,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
924,32,0.5500000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
923,32,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
922,32,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
921,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
920,32,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
919,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
918,32,0.45000000000000007,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
917,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
916,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
915,32,0.35000000000000003,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
914,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
913,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
912,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
911,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
910,32,0.25000000000000006,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
909,32,0.05,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
908,32,0.15000000000000002,4,2,0.32323232323232326,4,1500,True,0.55,0.1,100
807,28,0.5500000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
965,34,0.15000000000000002,4,2,0.3434343434343434,4,1500,True,0.55,0.1,100
806,29,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
804,28,0.45000000000000007,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
702,25,0.05,4,33,0.24242424242424243,4,1500,True,0.55,0.1,100
701,25,0.25000000000000006,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
700,25,0.25000000000000006,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
699,25,0.25000000000000006,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
698,25,0.25000000000000006,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
697,25,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
696,25,0.25000000000000006,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
703,25,0.05,4,49,0.24242424242424243,4,1500,True,0.55,0.1,100
695,25,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
