,n_agents,Run,Buckets,issues,l_steps,p,CI2,d,o
0,25,3,3,3,1500,0.2,True,0.55,0.1
75,400,3,3,3,1500,0.2,True,0.55,0.1
74,400,3,2,3,1500,0.2,True,0.55,0.1
73,375,3,2,3,1500,0.2,True,0.55,0.1
72,375,3,2,3,1500,0.2,True,0.55,0.1
71,375,3,2,3,1500,0.2,True,0.55,0.1
70,375,3,3,3,1500,0.2,True,0.55,0.1
69,350,3,2,3,1500,0.2,True,0.55,0.1
68,350,3,3,3,1500,0.2,True,0.55,0.1
67,325,3,4,3,1500,0.2,True,0.55,0.1
66,350,3,2,3,1500,0.2,True,0.55,0.1
76,375,3,3,3,1500,0.2,True,0.55,0.1
65,350,3,2,3,1500,0.2,True,0.55,0.1
63,325,3,2,3,1500,0.2,True,0.55,0.1
62,325,3,2,3,1500,0.2,True,0.55,0.1
61,325,3,2,3,1500,0.2,True,0.55,0.1
60,325,3,3,3,1500,0.2,True,0.55,0.1
59,300,3,2,3,1500,0.2,True,0.55,0.1
58,300,3,3,3,1500,0.2,True,0.55,0.1
57,300,3,2,3,1500,0.2,True,0.55,0.1
56,300,3,2,3,1500,0.2,True,0.55,0.1
55,275,3,2,3,1500,0.2,True,0.55,0.1
54,275,3,2,3,1500,0.2,True,0.55,0.1
64,350,3,3,3,1500,0.2,True,0.55,0.1
77,400,3,2,3,1500,0.2,True,0.55,0.1
78,400,3,3,3,1500,0.2,True,0.55,0.1
79,425,3,2,3,1500,0.2,True,0.55,0.1
102,525,3,2,3,1500,0.2,True,0.55,0.1
101,525,3,2,3,1500,0.2,True,0.55,0.1
100,525,3,2,3,1500,0.2,True,0.55,0.1
99,500,3,3,3,1500,0.2,True,0.55,0.1
98,475,3,2,3,1500,0.2,True,0.55,0.1
97,500,3,2,3,1500,0.2,True,0.55,0.1
96,500,3,2,3,1500,0.2,True,0.55,0.1
95,500,3,2,3,1500,0.2,True,0.55,0.1
94,500,3,2,3,1500,0.2,True,0.55,0.1
93,475,3,3,3,1500,0.2,True,0.55,0.1
92,475,3,2,3,1500,0.2,True,0.55,0.1
91,475,3,3,3,1500,0.2,True,0.55,0.1
90,450,3,2,3,1500,0.2,True,0.55,0.1
89,450,3,3,3,1500,0.2,True,0.55,0.1
88,475,3,2,3,1500,0.2,True,0.55,0.1
87,450,3,3,3,1500,0.2,True,0.55,0.1
86,450,3,3,3,1500,0.2,True,0.55,0.1
85,450,3,2,3,1500,0.2,True,0.55,0.1
84,425,3,2,3,1500,0.2,True,0.55,0.1
83,425,3,2,3,1500,0.2,True,0.55,0.1
82,425,3,2,3,1500,0.2,True,0.55,0.1
81,425,3,3,3,1500,0.2,True,0.55,0.1
80,400,3,2,3,1500,0.2,True,0.55,0.1
53,300,3,2,3,1500,0.2,True,0.55,0.1
103,525,3,2,3,1500,0.2,True,0.55,0.1
52,275,3,2,3,1500,0.2,True,0.55,0.1
50,275,3,2,3,1500,0.2,True,0.55,0.1
22,125,3,2,3,1500,0.2,True,0.55,0.1
21,125,3,2,3,1500,0.2,True,0.55,0.1
20,100,3,2,3,1500,0.2,True,0.55,0.1
19,125,3,3,3,1500,0.2,True,0.55,0.1
18,100,3,2,3,1500,0.2,True,0.55,0.1
17,100,3,2,3,1500,0.2,True,0.55,0.1
16,100,3,2,3,1500,0.2,True,0.55,0.1
15,100,3,2,3,1500,0.2,True,0.55,0.1
14,75,3,2,3,1500,0.2,True,0.55,0.1
13,75,3,2,3,1500,0.2,True,0.55,0.1
23,125,3,2,3,1500,0.2,True,0.55,0.1
12,50,3,2,3,1500,0.2,True,0.55,0.1
