,p,Run,Buckets,issues,l_steps,n_agents,CI2,d,o
0,0.1,3,14,3,1000,100,False,0.5,0.1
68,0.7000000000000001,3,8,3,1000,100,False,0.5,0.1
67,0.7000000000000001,3,11,3,1000,100,False,0.5,0.1
66,0.7000000000000001,3,9,3,1000,100,False,0.5,0.1
65,0.6500000000000001,3,8,3,1000,100,False,0.5,0.1
64,0.7000000000000001,3,8,3,1000,100,False,0.5,0.1
63,0.6500000000000001,3,8,3,1000,100,False,0.5,0.1
62,0.6500000000000001,3,10,3,1000,100,False,0.5,0.1
61,0.6500000000000001,3,9,3,1000,100,False,0.5,0.1
60,0.6500000000000001,3,10,3,1000,100,False,0.5,0.1
69,0.7000000000000001,3,10,3,1000,100,False,0.5,0.1
59,0.6000000000000001,3,8,3,1000,100,False,0.5,0.1
57,0.6000000000000001,3,8,3,1000,100,False,0.5,0.1
56,0.6000000000000001,3,8,3,1000,100,False,0.5,0.1
55,0.55,3,9,3,1000,100,False,0.5,0.1
54,0.55,3,10,3,1000,100,False,0.5,0.1
53,0.6000000000000001,3,9,3,1000,100,False,0.5,0.1
52,0.55,3,8,3,1000,100,False,0.5,0.1
51,0.55,3,8,3,1000,100,False,0.5,0.1
50,0.55,3,8,3,1000,100,False,0.5,0.1
49,0.5,3,8,3,1000,100,False,0.5,0.1
58,0.6000000000000001,3,10,3,1000,100,False,0.5,0.1
48,0.5,3,8,3,1000,100,False,0.5,0.1
70,0.7500000000000001,3,8,3,1000,100,False,0.5,0.1
72,0.8,3,10,3,1000,100,False,0.5,0.1
92,0.9500000000000001,3,8,3,1000,100,False,0.5,0.1
91,0.9500000000000001,3,9,3,1000,100,False,0.5,0.1
90,0.9500000000000001,3,8,3,1000,100,False,0.5,0.1
89,0.9000000000000001,3,8,3,1000,100,False,0.5,0.1
88,0.9000000000000001,3,8,3,1000,100,False,0.5,0.1
87,0.8500000000000001,3,8,3,1000,100,False,0.5,0.1
86,0.9000000000000001,3,9,3,1000,100,False,0.5,0.1
85,0.9000000000000001,3,8,3,1000,100,False,0.5,0.1
84,0.9000000000000001,3,10,3,1000,100,False,0.5,0.1
71,0.7500000000000001,3,9,3,1000,100,False,0.5,0.1
83,0.8500000000000001,3,8,3,1000,100,False,0.5,0.1
81,0.8500000000000001,3,9,3,1000,100,False,0.5,0.1
80,0.8500000000000001,3,10,3,1000,100,False,0.5,0.1
79,0.7500000000000001,3,8,3,1000,100,False,0.5,0.1
78,0.8,3,8,3,1000,100,False,0.5,0.1
77,0.8,3,9,3,1000,100,False,0.5,0.1
76,0.8,3,10,3,1000,100,False,0.5,0.1
75,0.8,3,9,3,1000,100,False,0.5,0.1
74,0.7500000000000001,3,8,3,1000,100,False,0.5,0.1
73,0.7500000000000001,3,8,3,1000,100,False,0.5,0.1
82,0.8500000000000001,3,9,3,1000,100,False,0.5,0.1
93,0.9500000000000001,3,8,3,1000,100,False,0.5,0.1
47,0.45,3,8,3,1000,100,False,0.5,0.1
45,0.5,3,8,3,1000,100,False,0.5,0.1
20,0.25,3,9,3,1000,100,False,0.5,0.1
19,0.2,3,8,3,1000,100,False,0.5,0.1
18,0.25,3,9,3,1000,100,False,0.5,0.1
17,0.2,3,8,3,1000,100,False,0.5,0.1
16,0.2,3,9,3,1000,100,False,0.5,0.1
15,0.15000000000000002,3,10,3,1000,100,False,0.5,0.1
14,0.15000000000000002,3,11,3,1000,100,False,0.5,0.1
13,0.2,3,10,3,1000,100,False,0.5,0.1
12,0.15000000000000002,3,11,3,1000,100,False,0.5,0.1
21,0.25,3,9,3,1000,100,False,0.5,0.1
11,0.15000000000000002,3,10,3,1000,100,False,0.5,0.1
9,0.1,3,11,3,1000,100,False,0.5,0.1
8,0.1,3,11,3,1000,100,False,0.5,0.1
7,0.05,3,25,3,1000,100,False,0.5,0.1
6,0.05,3,25,3,1000,100,False,0.5,0.1
5,0.05,3,30,3,1000,100,False,0.5,0.1
4,0.05,3,18,3,1000,100,False,0.5,0.1
3,0.05,3,23,3,1000,100,False,0.5,0.1
2,0.1,3,13,3,1000,100,False,0.5,0.1
1,0.1,3,12,3,1000,100,False,0.5,0.1
10,0.15000000000000002,3,9,3,1000,100,False,0.5,0.1
46,0.5,3,10,3,1000,100,False,0.5,0.1
22,0.25,3,8,3,1000,100,False,0.5,0.1
24,0.25,3,9,3,1000,100,False,0.5,0.1
44,0.45,3,8,3,1000,100,False,0.5,0.1
43,0.5,3,8,3,1000,100,False,0.5,0.1
42,0.45,3,8,3,1000,100,False,0.5,0.1
41,0.45,3,9,3,1000,100,False,0.5,0.1
40,0.4,3,8,3,1000,100,False,0.5,0.1
39,0.4,3,8,3,1000,100,False,0.5,0.1
38,0.45,3,8,3,1000,100,False,0.5,0.1
37,0.4,3,8,3,1000,100,False,0.5,0.1
36,0.4,3,8,3,1000,100,False,0.5,0.1
23,0.2,3,9,3,1000,100,False,0.5,0.1
35,0.4,3,10,3,1000,100,False,0.5,0.1
33,0.35000000000000003,3,8,3,1000,100,False,0.5,0.1
32,0.3,3,8,3,1000,100,False,0.5,0.1
31,0.35000000000000003,3,8,3,1000,100,False,0.5,0.1
30,0.35000000000000003,3,9,3,1000,100,False,0.5,0.1
29,0.35000000000000003,3,10,3,1000,100,False,0.5,0.1
28,0.3,3,10,3,1000,100,False,0.5,0.1
27,0.3,3,9,3,1000,100,False,0.5,0.1
26,0.3,3,8,3,1000,100,False,0.5,0.1
25,0.3,3,9,3,1000,100,False,0.5,0.1
34,0.35000000000000003,3,8,3,1000,100,False,0.5,0.1
94,0.9500000000000001,3,11,3,1000,100,False,0.5,0.1
